"","E","N","agua_10","esg_10","lixo_10","palfac_10","rnmpr_10","v7_10,v21_10","v22_10","v3_10","v4_10","v5_10","v1_10","v8_10","uso_10","NA"
"1",210881.750981095,9017599.42238858,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"2",210882.11588139,9017605.6256936,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"3",210882.967315412,9017611.58573175,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"4",210883.453849139,9017616.93760275,1,1,1,1,1,1,1,1,1,1,1,1,1,20
"5",210870.560705371,9017612.31553235,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"6",210883.970791224,9017621.92457346,1,1,1,1,1,1,1,1,1,1,1,1,1,20
"7",210884.092424656,9017626.63786894,1,1,1,1,1,1,1,1,1,1,1,1,1,20
"8",210884.153241372,9017631.77688143,1,1,1,1,1,1,1,1,1,1,1,1,1,20
"9",210886.038559565,9017637.25038586,1,1,1,1,1,1,1,1,1,1,1,1,1,20
"10",210886.160192996,9017642.17653985,1,1,1,1,1,1,1,1,1,1,1,1,1,20
"11",210886.038559565,9017646.43370996,1,1,1,1,1,1,1,1,1,1,1,1,1,20
"12",210886.464276576,9017651.72476425,1,1,1,1,1,1,1,1,1,1,1,1,1,20
"13",210919.670203451,9017656.04275107,1,1,1,1,1,1,1,1,1,1,1,1,1,20
"14",210882.11588139,9017605.6256936,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"15",210882.11588139,9017605.6256936,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"16",210786.724862518,9018398.12831834,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"17",210793.414701266,9018391.31684616,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"18",210797.185337651,9018388.7625441,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"19",210801.564141195,9018386.57314232,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"20",210793.901234993,9018390.83031243,1,1,1,1,1,1,1,1,1,1,1,1,1,21
