id,xcoord,ycoord
"4",210881.750981095,9017599.42238858
"5",210882.11588139,9017605.6256936
"6",210882.967315412,9017611.58573175
"7",210883.453849139,9017616.93760275
"8",210870.560705371,9017612.31553235
"9",210883.970791224,9017621.92457346
"10",210884.092424656,9017626.63786894
"11",210884.153241372,9017631.77688143
"12",210886.038559565,9017637.25038586
"13",210886.160192996,9017642.17653985
"14",210886.038559565,9017646.43370996
"15",210886.464276576,9017651.72476425
"16",210919.670203451,9017656.04275107
"17",210882.11588139,9017605.6256936
"18",210882.11588139,9017605.6256936
"19",210786.724862518,9018398.12831834
"20",210793.414701266,9018391.31684616
"21",210797.185337651,9018388.7625441
"22",210801.564141195,9018386.57314232
"23",210793.901234993,9018390.83031243
"24",210797.550237946,9018388.27601037
"25",210801.077607468,9018386.57314232
"26",210805.213144148,9018383.4106731
"27",210807.767446216,9018380.24820387
"28",210811.294815737,9018377.57226837
"29",210816.889953599,9018375.3828666
"1",210820.417323121,9018371.97713051
"2",210824.309592937,9018370.27426246
"3",210827.715329027,9018367.47669353
"1",,
"1",,
"1",,
"1",210977.08118325,9017682.07230547
"1",211034.492163049,9017686.45110901
"1",210962.485171437,9017706.39899183
"1",210990.217593882,9017690.82991256
"1",211028.167224596,9017670.39549602
"1",210763.432060333,9018460.64790227
"1",210752.120151178,9018477.91984958
"1",210751.390350587,9018482.54191999
"1",210750.721366712,9018487.1639904
"1",210749.991566122,9018492.09014438
"1",210748.957681951,9018496.65139808
"1",210749.018498667,9018501.76000221
"1",210748.775231804,9018505.95635561
"1",210747.315630622,9018510.57842601
"1",210747.558897486,9018515.20049642
"1",210747.193997191,9018519.7009334
"1",210724.995895891,9018714.1927908
"1",210546.924551769,9019547.98996564
"1",209989.113633637,9022038.55611471
"1",210056.741821706,9022003.03915263
"1",210083.501176697,9021982.6047361
"1",210112.693200323,9022004.01222009
"1",210148.210162402,9021968.00872428
"1",210157.940836945,9021949.52044265
"1",210136.046819225,9021936.87056575
"1",210095.664519875,9021996.22768045
